id,input_text,target_language,human_translated_text,clean_text,detected_lang,moderation_status,emotion_label,input_token_count,human_translation_token_count
1,அழுமூஞ்சியாக இருக்காதே.,en,Don’t be a cry-baby. / Don’t be a fusspot.,அழுமூஞ்சியாக இருக்காதே.,ta,approved,anger,65,20
2,சிணுங்குவதை நிறுத்து.,en,Stop whining. / Stop whimpering.,சிணுங்குவதை நிறுத்து.,ta,approved,anger,59,8
3,நீ மிகவும் குறும்புக்காரி.,en,You are very naughty.,நீ மிகவும் குறும்புக்காரி.,ta,approved,anger,72,5
4,இந்த பையன் மிகவும் தேட்தடச் சேயவன்.,en,This boy is very mischievous; troublesome.,இந்த பையன் மிகவும் தேட்தடச் சேயவன்.,ta,approved,joy,95,10
5,ஒழுங்கா இரு.,en,Behave yourself. / Keep quiet.,ஒழுங்கா இரு.,ta,approved,anger,32,8
6,அவள் ஒரு சகட்டிக்காரி.,en,"She is smart, bright and intelligent.",அவள் ஒரு சகட்டிக்காரி.,ta,approved,joy,60,8
7,அவள் சரம் வாயாடி.,en,She yaps a lot. / She is a chatterbox. / Talkative. Doesn’t stop talking.,அவள் சரம் வாயாடி.,ta,approved,joy,45,24
8,அவள் பிடிவாதமானவள்.,en,Stubborn; adamant.,அவள் பிடிவாதமானவள்.,ta,approved,joy,53,6
9,அவள் காபி தரையில் சிந்திவிட்டாள்.,en,She spilled coffee on the floor. / She messed up the place.,அவள் காபி தரையில் சிந்திவிட்டாள்.,ta,approved,joy,91,14
10,எல்லாவற்றையும் நீ தான் செய்யணும். நீ வளர்ந்துவிட்டாய்.,en,Help yourself. (Do it yourself.) You’ve grown up.,எல்லாவற்றையும் நீ தான் செய்யணும். நீ வளர்ந்துவிட்டாய்.,ta,approved,joy,148,15
11,என்னை நம்பி இருக்காதே. என்னிடம் உதவி எதிர்பார்க்காதே.,en,Don’t depend on me. / Don’t bother me.,என்னை நம்பி இருக்காதே. என்னிடம் உதவி எதிர்பார்க்காதே.,ta,approved,joy,145,16
12,எதிர்த்து பேசாதே. பெரியவர்களுக்கு எதிர்த்து பேசாதே.,en,Don’t answer back. / Don’t talk back. / Don’t retort.,எதிர்த்து பேசாதே. பெரியவர்களுக்கு எதிர்த்து பேசாதே.,ta,approved,anger,141,23
13,நான் சொல்வதை கேள்.,en,Just listen to me. / Obey me.,நான் சொல்வதை கேள்.,ta,approved,anger,48,10
14,சொடக்கு அடிக்காதே. அது ஒரு சகட்ட பழக்கம்.,en,Don’t crack your knuckles. / That’s a bad habit.,சொடக்கு அடிக்காதே. அது ஒரு சகட்ட பழக்கம்.,ta,approved,joy,109,18
15,சரியான நேரத்தில் வரவும். சரியான நேரத்தில் இருங்கள்.,en,You should turn up on time. / Be punctual. / Reach the office on time. / Don’t be late.,சரியான நேரத்தில் வரவும். சரியான நேரத்தில் இருங்கள்.,ta,approved,joy,139,27
16,என் மேலாளர் என் கோரிக்கையை நிராகரித்தார்.,en,My boss turned down my request.,என் மேலாளர் என் கோரிக்கையை நிராகரித்தார்.,ta,approved,joy,113,7
17,என் மேலாளர் எனக்கு லீவு கொடுக்க மறுத்துவிட்டார்.,en,My boss refused to grant me leave. / He rejected my leave application.,என் மேலாளர் எனக்கு லீவு கொடுக்க மறுத்துவிட்டார்.,ta,approved,joy,132,15
18,என் மேலாளருடன் எனக்கு இன்று நேரம் சரியில்லை.,en,I had a hard time with my boss today. / My boss was tough and rude with me.,என் மேலாளருடன் எனக்கு இன்று நேரம் சரியில்லை.,ta,approved,joy,120,20
