id,input_text,target_language,human_translated_text,clean_text,detected_lang,moderation_status,tone,domain,OpenAI_Trans,OpenAI_Tokens,Gemini_Trans,Gemini_Tokens,BLEU_OpenAI,BLEU_Gemini,Cosine_OpenAI,Cosine_Gemini,AvgMetric_OpenAI,AvgMetric_Gemini,Best,Best_Tokens,Accuracy(%),Classification
1,அழுமூஞ்சியாக இருக்காதே.,en,Don’t be a cry-baby. / Don’t be a fusspot.,அழுமூஞ்சியாக இருக்காதே.,ta,approved,Short/Simple,General,Don't be a nuisance.,33,Don't be a crybaby.,16,0.0487,0.0487,0.3614,0.627,0.205,0.3378,Gemini,16,33.78,No
2,சிணுங்குவதை நிறுத்து.,en,Stop whining. / Stop whimpering.,சிணுங்குவதை நிறுத்து.,ta,approved,Short/Simple,General,Stop whining.,30,Stop whining.,12,0.0706,0.0706,0.8031,0.8031,0.4368,0.4368,OpenAI,30,43.68,No
3,நீ மிகவும் குறும்புக்காரி.,en,You are very naughty.,நீ மிகவும் குறும்புக்காரி.,ta,approved,Short/Simple,General,You are very mischievous.,34,You are very mischievous.,16,0.3976,0.3976,0.6354,0.6354,0.5165,0.5165,OpenAI,34,51.65,No
4,இந்த பையன் மிகவும் தேட்தடச் சேயவன்.,en,This boy is very mischievous; troublesome.,இந்த பையன் மிகவும் தேட்தடச் சேயவன்.,ta,approved,Neutral,General,This boy is very mischievous.,40,"This boy is very **mysterious**.

Other possible translations:
*   This boy is very **enigmatic**.
*   This boy is very **hard to figure out**.
*   This boy is very **puzzling**.",64,0.5475,0.0806,0.9254,0.4653,0.7365,0.2729,OpenAI,40,73.65,No
5,ஒழுங்கா இரு.,en,Behave yourself. / Keep quiet.,ஒழுங்கா இரு.,ta,approved,Short/Simple,General,Be organized.,28,"""Behave yourself.""

Other possible translations, depending on context:
*   ""Behave.""
*   ""Be good.""
*   ""Be disciplined.""",38,0.0,0.0,0.3122,0.5223,0.1561,0.2611,Gemini,38,26.11,No
6,அவள் ஒரு சகட்டிக்காரி.,en,"She is smart, bright and intelligent.",அவள் ஒரு சகட்டிக்காரி.,ta,approved,Short/Simple,General,She is a troublemaker.,34,**She is a hardworking woman.**,18,0.1031,0.044,0.5065,0.3953,0.3048,0.2196,OpenAI,34,30.48,No
7,அவள் சரம் வாயாடி.,en,She yaps a lot. / She is a chatterbox. / Talkative. Doesn’t stop talking.,அவள் சரம் வாயாடி.,ta,approved,Short/Simple,General,She is a skilled performer.,33,"She is a chatterbox.
She is a blabbermouth.
She is a motormouth.",29,0.044,0.1986,0.3113,0.6015,0.1776,0.4001,Gemini,29,40.01,No
8,அவள் பிடிவாதமானவள்.,en,Stubborn; adamant.,அவள் பிடிவாதமானவள்.,ta,approved,Short/Simple,General,She is stubborn.,32,She is stubborn.,14,0.0,0.0,0.4843,0.4843,0.2422,0.2422,OpenAI,32,24.22,No
9,அவள் காபி தரையில் சிந்திவிட்டாள்.,en,She spilled coffee on the floor. / She messed up the place.,அவள் காபி தரையில் சிந்திவிட்டாள்.,ta,approved,Neutral,General,She spilled coffee on the floor.,39,She spilled coffee on the floor.,21,0.3679,0.3679,0.8802,0.8802,0.624,0.624,OpenAI,39,62.4,No
10,எல்லாவற்றையும் நீ தான் செய்யணும். நீ வளர்ந்துவிட்டாய்.,en,Help yourself. (Do it yourself.) You’ve grown up.,எல்லாவற்றையும் நீ தான் செய்யணும். நீ வளர்ந்துவிட்டாய்.,ta,approved,Neutral,General,You have to do everything yourself. You have grown up.,48,"Here are a few ways to translate it, depending on the exact nuance:

**Option 1 (Common & Direct):**
You have to do everything yourself. You've grown up.

**Option 2 (Slightly more emphasis on ""you""):**
You're the one who has to do everything. You've grown up.

**Option 3 (Focus on necessity):**
You need to do everything. You've grown up.",102,0.0494,0.0074,0.7014,0.4947,0.3754,0.251,OpenAI,48,37.54,No
11,என்னை நம்பி இருக்காதே. என்னிடம் உதவி எதிர்பார்க்காதே.,en,Don’t depend on me. / Don’t bother me.,என்னை நம்பி இருக்காதே. என்னிடம் உதவி எதிர்பார்க்காதே.,ta,approved,Neutral,General,Don't trust me. Don't expect help from me.,48,Don't rely on me. Don't expect help from me.,31,0.033,0.0561,0.3669,0.5474,0.2,0.3018,Gemini,31,30.18,No
12,எதிர்த்து பேசாதே. பெரியவர்களுக்கு எதிர்த்து பேசாதே.,en,Don’t answer back. / Don’t talk back. / Don’t retort.,எதிர்த்து பேசாதே. பெரியவர்களுக்கு எதிர்த்து பேசாதே.,ta,approved,Neutral,General,Don't speak against elders.,39,Don't talk back. Don't talk back to elders.,26,0.0,0.0457,0.2546,0.5003,0.1273,0.273,Gemini,26,27.3,No
13,நான் சொல்வதை கேள்.,en,Just listen to me. / Obey me.,நான் சொல்வதை கேள்.,ta,approved,Short/Simple,General,Listen to what I say.,32,Listen to what I say.,14,0.036,0.036,0.5558,0.5558,0.2959,0.2959,OpenAI,32,29.59,No
14,சொடக்கு அடிக்காதே. அது ஒரு சகட்ட பழக்கம்.,en,Don’t crack your knuckles. / That’s a bad habit.,சொடக்கு அடிக்காதே. அது ஒரு சகட்ட பழக்கம்.,ta,approved,Neutral,General,Don't hit the table. That's a bad habit.,43,Don't crack your knuckles. It's an unhealthy habit.,26,0.1213,0.1304,0.436,0.9542,0.2787,0.5423,Gemini,26,54.23,No
15,சரியான நேரத்தில் வரவும். சரியான நேரத்தில் இருங்கள்.,en,You should turn up on time. / Be punctual. / Reach the office on time. / Don’t be late.,சரியான நேரத்தில் வரவும். சரியான நேரத்தில் இருங்கள்.,ta,approved,Neutral,General,Come on time. Be on time.,41,Come on time. Be on time.,23,0.0148,0.0148,0.4951,0.4951,0.2549,0.2549,OpenAI,41,25.49,No
16,என் மேலாளர் என் கோரிக்கையை நிராகரித்தார்.,en,My boss turned down my request.,என் மேலாளர் என் கோரிக்கையை நிராகரித்தார்.,ta,approved,Neutral,General,My manager rejected my request.,39,My manager rejected my request.,21,0.1029,0.1029,0.6745,0.6745,0.3887,0.3887,OpenAI,39,38.87,No
17,என் மேலாளர் எனக்கு லீவு கொடுக்க மறுத்துவிட்டார்.,en,My boss refused to grant me leave. / He rejected my leave application.,என் மேலாளர் எனக்கு லீவு கொடுக்க மறுத்துவிட்டார்.,ta,approved,Neutral,General,My manager has refused to give me leave.,44,My manager refused to give me leave.,25,0.047,0.0443,0.7251,0.7521,0.3861,0.3982,Gemini,25,39.82,No
18,என் மேலாளருடன் எனக்கு இன்று நேரம் சரியில்லை.,en,I had a hard time with my boss today. / My boss was tough and rude with me.,என் மேலாளருடன் எனக்கு இன்று நேரம் சரியில்லை.,ta,approved,Neutral,General,I don't have time with my manager today.,42,"Here are a few ways to translate that, depending on the nuance you want:

1.  **Things aren't good with my manager today.** (Most common and general)
2.  **I'm not getting along well with my manager today.**
3.  **I had a bad time with my manager today.** (If referring to a specific interaction that already happened)
4.  **I'm having issues with my manager today.**

The most direct and generally understood translation is:
**Things aren't good with my manager today.**",123,0.0448,0.0157,0.4848,0.416,0.2648,0.2159,OpenAI,42,26.48,No
19,நான் என்ன செய்தாலும் அவர் குற்றம் கண்டுபிடிக்கிறார்.,en,He is finding fault with whatever I do.,நான் என்ன செய்தாலும் அவர் குற்றம் கண்டுபிடிக்கிறார்.,ta,approved,Neutral,General,"No matter what I do, he finds fault.",43,"No matter what I do, he finds fault.",25,0.0278,0.0278,0.8544,0.8544,0.4411,0.4411,OpenAI,43,44.11,No
20,அவர் எப்போதும் என் தவறில் சின்ன சின்ன விஷயத்திற்கெல்லாம் குற்றம் கண்டுபிடிக்கிறார்.,en,My boss is always nit-picking in my work.,அவர் எப்போதும் என் தவறில் சின்ன சின்ன விஷயத்திற்கெல்லாம் குற்றம் கண்டுபிடிக்கிறார்.,ta,approved,Neutral,General,He always finds fault with me for the smallest things.,59,"He always criticizes even my smallest mistakes.

Other options:
*   He always finds fault with my little mistakes.
*   He always picks on my small mistakes.",63,0.0211,0.0086,0.3528,0.3482,0.1869,0.1784,OpenAI,59,18.69,No
21,என் மேலாளர் என்னை திட்டினார்.,en,My boss scolded me. / He rebuked me.,என் மேலாளர் என்னை திட்டினார்.,ta,approved,Neutral,General,My manager scolded me.,34,My manager scolded me.,16,0.0692,0.0692,0.7369,0.7369,0.403,0.403,OpenAI,34,40.3,No
22,என் மேலாளர் மிகவும் கண்டிப்பானவர்.,en,I have a very strict boss.,என் மேலாளர் மிகவும் கண்டிப்பானவர்.,ta,approved,Neutral,General,My manager is very strict.,34,My manager is very strict.,16,0.044,0.044,0.7702,0.7702,0.4071,0.4071,OpenAI,34,40.71,No
