id,input_text,target_language,human_translated_text,clean_text,detected_lang,moderation_status
1,அழுமூஞ்சியாக இருக்காதே.,en,Don’t be a cry-baby. / Don’t be a fusspot.,அழுமூஞ்சியாக இருக்காதே.,ta,approved
2,சிணுங்குவதை நிறுத்து.,en,Stop whining. / Stop whimpering.,சிணுங்குவதை நிறுத்து.,ta,approved
3,நீ மிகவும் குறும்புக்காரி.,en,You are very naughty.,நீ மிகவும் குறும்புக்காரி.,ta,approved
4,இந்த பையன் மிகவும் தேட்தடச் சேயவன்.,en,This boy is very mischievous; troublesome.,இந்த பையன் மிகவும் தேட்தடச் சேயவன்.,ta,approved
5,ஒழுங்கா இரு.,en,Behave yourself. / Keep quiet.,ஒழுங்கா இரு.,ta,approved
6,அவள் ஒரு சகட்டிக்காரி.,en,"She is smart, bright and intelligent.",அவள் ஒரு சகட்டிக்காரி.,ta,approved
7,அவள் சரம் வாயாடி.,en,She yaps a lot. / She is a chatterbox. / Talkative. Doesn’t stop talking.,அவள் சரம் வாயாடி.,ta,approved
8,அவள் பிடிவாதமானவள்.,en,Stubborn; adamant.,அவள் பிடிவாதமானவள்.,ta,approved
9,அவள் காபி தரையில் சிந்திவிட்டாள்.,en,She spilled coffee on the floor. / She messed up the place.,அவள் காபி தரையில் சிந்திவிட்டாள்.,ta,approved
10,எல்லாவற்றையும் நீ தான் செய்யணும். நீ வளர்ந்துவிட்டாய்.,en,Help yourself. (Do it yourself.) You’ve grown up.,எல்லாவற்றையும் நீ தான் செய்யணும். நீ வளர்ந்துவிட்டாய்.,ta,approved
11,என்னை நம்பி இருக்காதே. என்னிடம் உதவி எதிர்பார்க்காதே.,en,Don’t depend on me. / Don’t bother me.,என்னை நம்பி இருக்காதே. என்னிடம் உதவி எதிர்பார்க்காதே.,ta,approved
12,எதிர்த்து பேசாதே. பெரியவர்களுக்கு எதிர்த்து பேசாதே.,en,Don’t answer back. / Don’t talk back. / Don’t retort.,எதிர்த்து பேசாதே. பெரியவர்களுக்கு எதிர்த்து பேசாதே.,ta,approved
13,நான் சொல்வதை கேள்.,en,Just listen to me. / Obey me.,நான் சொல்வதை கேள்.,ta,approved
14,சொடக்கு அடிக்காதே. அது ஒரு சகட்ட பழக்கம்.,en,Don’t crack your knuckles. / That’s a bad habit.,சொடக்கு அடிக்காதே. அது ஒரு சகட்ட பழக்கம்.,ta,approved
15,சரியான நேரத்தில் வரவும். சரியான நேரத்தில் இருங்கள்.,en,You should turn up on time. / Be punctual. / Reach the office on time. / Don’t be late.,சரியான நேரத்தில் வரவும். சரியான நேரத்தில் இருங்கள்.,ta,approved
16,என் மேலாளர் என் கோரிக்கையை நிராகரித்தார்.,en,My boss turned down my request.,என் மேலாளர் என் கோரிக்கையை நிராகரித்தார்.,ta,approved
17,என் மேலாளர் எனக்கு லீவு கொடுக்க மறுத்துவிட்டார்.,en,My boss refused to grant me leave. / He rejected my leave application.,என் மேலாளர் எனக்கு லீவு கொடுக்க மறுத்துவிட்டார்.,ta,approved
18,என் மேலாளருடன் எனக்கு இன்று நேரம் சரியில்லை.,en,I had a hard time with my boss today. / My boss was tough and rude with me.,என் மேலாளருடன் எனக்கு இன்று நேரம் சரியில்லை.,ta,approved
19,நான் என்ன செய்தாலும் அவர் குற்றம் கண்டுபிடிக்கிறார்.,en,He is finding fault with whatever I do.,நான் என்ன செய்தாலும் அவர் குற்றம் கண்டுபிடிக்கிறார்.,ta,approved
20,அவர் எப்போதும் என் தவறில் சின்ன சின்ன விஷயத்திற்கெல்லாம் குற்றம் கண்டுபிடிக்கிறார்.,en,My boss is always nit-picking in my work.,அவர் எப்போதும் என் தவறில் சின்ன சின்ன விஷயத்திற்கெல்லாம் குற்றம் கண்டுபிடிக்கிறார்.,ta,approved
21,என் மேலாளர் என்னை திட்டினார்.,en,My boss scolded me. / He rebuked me.,என் மேலாளர் என்னை திட்டினார்.,ta,approved
22,என் மேலாளர் மிகவும் கண்டிப்பானவர்.,en,I have a very strict boss.,என் மேலாளர் மிகவும் கண்டிப்பானவர்.,ta,approved
23,அவர் ஒருபோதும் சமாதானமாக இருப்பதில்லை.,en,He is never lenient.,அவர் ஒருபோதும் சமாதானமாக இருப்பதில்லை.,ta,approved
24,அலுவலகத்தில் கடினமான வேலை.,en,It is tough work at the office.,அலுவலகத்தில் கடினமான வேலை.,ta,approved
25,அலுவலகத்தில் அதிகமான வேலை.,en,Heavy work at the office.,அலுவலகத்தில் அதிகமான வேலை.,ta,approved
26,இதை எப்படி செய்வது என்று தெரியவில்லை.,en,I don’t know how to do this.,இதை எப்படி செய்வது என்று தெரியவில்லை.,ta,approved
27,இதை எப்படி செய்வது என்று தெரியாமல் திக்குமுக்காடிக் காண்டு இருக்கிறேன்.,en,I am at a loss to know how to do this.,இதை எப்படி செய்வது என்று தெரியாமல் திக்குமுக்காடிக் காண்டு இருக்கிறேன்.,ta,approved
28,நீங்கள் எனக்கு உதவ முடியுமா?,en,"Could you help me, if you don’t mind?",நீங்கள் எனக்கு உதவ முடியுமா?,ta,approved
29,தயவுசெய்து ஒரு உதவி செய்ய முடியுமா?,en,Would you mind lending me a helping hand?,தயவுசெய்து ஒரு உதவி செய்ய முடியுமா?,ta,approved
30,சாப்பாடு பரிமாறு,en,Serve food. (Don’t say: Keep the food) / (Second serving),சாப்பாடு பரிமாறு,ta,approved
31,ருசியான சாப்பாடு,en,Tasty food. / Yummy food. / Delicious; delectable; palatable.,ருசியான சாப்பாடு,ta,approved
32,நான் உணவை ரசித்து சாப்பிட்டேன்,en,I relished the food.,நான் உணவை ரசித்து சாப்பிட்டேன்,ta,approved
33,உணவின் முக்கியப் பகுதி,en,Main course.,உணவின் முக்கியப் பகுதி,ta,approved
34,விக்குது; விக்கல் எடுக்குது,en,I am hiccupping.,விக்குது விக்கல் எடுக்குது,ta,approved
35,பசி யித்வத கிள்ளுது,en,I am starved. / I am famished.,பசி யித்வத கிள்ளுது,ta,approved
36,பசிதய இல்வல,en,I am full. / I am not hungry. / My stomach is full.,பசிதய இல்வல,ta,approved
37,யித்வத புரட்டுது,en,Stomach churning. / My stomach is churning.,யித்வத புரட்டுது,ta,approved
38,யிறு கம்மமன்று இருக்குது,en,I feel full. (Due to indigestion).,யிறு கம்மமன்று இருக்குது,ta,approved
39,அவனுக்கு புத்திகூர்மை அதிகம்,en,He is sharp and intelligent. / He is brainy.,அவனுக்கு புத்திகூர்மை அதிகம்,ta,approved
40,அவனுக்கு புத்தி இல்ல. ஒரு மரமண் வட,en,He is dumb. / He is stupid. / Dull-headed. / Brainless fellow.,அவனுக்கு புத்தி இல்ல. ஒரு மரமண் வட,ta,approved
41,இந்த இடம் பிசு பிசு மைன்று இருக்கிறது,en,This place is sticky.,இந்த இடம் பிசு பிசு மைன்று இருக்கிறது,ta,approved
42,தவரவய ஈர துணிவய வைத்து சுத்தம் செய்,en,Mop the floor.,தவரவய ஈர துணிவய வைத்து சுத்தம் செய்,ta,approved
43,ஒட்டவட எடு,en,Remove the cobwebs.,ஒட்டவட எடு,ta,approved
44,அதில் தூசி தட்டிவிடு,en,Dust it.,அதில் தூசி தட்டிவிடு,ta,approved
45,பழக்கமாக,en,Usually. / Customarily.,பழக்கமாக,ta,approved
46,பழக்கத்துக்கு மாறாக,en,Unusually. / Contrary to the custom.,பழக்கத்துக்கு மாறாக,ta,approved
47,நருக்கு நர்,en,Direct. / One to one (conversation). / One on one (competition).,நருக்கு நர்,ta,approved
48,எப்படியும் சமாளிக்க டைண் டும்,en,Try to manage somehow. / Cope with it. / Grapple with it. / Manoeuvre.,எப்படியும் சமாளிக்க டைண் டும்,ta,approved
49,என் அத்தி பூத்தது போல வருகிறீர்கள்,en,You come here once in a blue moon. / You seldom come here. / You rarely come here. / You come here occasionally.,என் அத்தி பூத்தது போல வருகிறீர்கள்,ta,approved
50,இப்போமாதல்லாம் வியாபாரம் குறைந்துவிட்டது,en,The business is dull nowadays. / It has slackened. / It has slowed down.,இப்போமாதல்லாம் வியாபாரம் குறைந்துவிட்டது,ta,approved
51,நாம் செலவை குறைக்க டைண் டும்,en,We’ve got to cut down our expenses.,நாம் செலவை குறைக்க டைண் டும்,ta,approved
52,வியாயக்கட்டி யிற்வற கட்டி டசய்த்து வைத்த பணம்,en,It is hard-earned money. / (Saving for the rainy day).,வியாயக்கட்டி யிற்வற கட்டி டசய்த்து வைத்த பணம்,ta,approved
53,சின்ன விஷயத்தை ஊதி மபரிதாக்காதே,en,Don’t blow it out of proportion.,சின்ன விஷயத்தை ஊதி மபரிதாக்காதே,ta,approved
54,வகக்கு எட்டியது காய்க்கு எட்டவில்லை,en,Many a slip between the cup and the lip. (Missed opportunity).,வகக்கு எட்டியது காய்க்கு எட்டவில்லை,ta,approved
55,அது அப்படியே இருக்கட்டும்,en,Let it be. / Leave it as it is.,அது அப்படியே இருக்கட்டும்,ta,approved
56,சரி. விஷயத்துக்கு வரலாம்,en,OK. Let’s get down to business.,சரி. விஷயத்துக்கு வரலாம்,ta,approved
57,இது எல்லாவற்றிலும் நல்லது,en,This is by far the best.,இது எல்லாவற்றிலும் நல்லது,ta,approved
58,கண் ட கண் ட மபாருள்கள்,en,Random things.,கண் ட கண் ட மபாருள்கள்,ta,approved
59,சரி. இப்ப நாம் தொடங்கலாம்,en,OK. Here we go. / Let’s start. / Let’s get started.,சரி. இப்ப நாம் தொடங்கலாம்,ta,approved
60,மபரிய உபடதசம் பண் ணாதே,en,Don’t start your sermons. / Don’t sermonise.,மபரிய உபடதசம் பண் ணாதே,ta,approved
61,எனக்கு ஒரு டயாசவன தோன்றுகிறது,en,I have an idea. / I’ve hit upon a new idea.,எனக்கு ஒரு டயாசவன தோன்றுகிறது,ta,approved
62,மீண் டும் மீண் டும்,en,Time and again. / Again and again. / Repeatedly.,மீண் டும் மீண் டும்,ta,approved
63,இதுதான் வாழ்க்கையில் எல்லாம் என்று எண்ணிவிடாதே,en,This is not the be all and end all in life.,இதுதான் வாழ்க்கையில் எல்லாம் என்று எண்ணிவிடாதே,ta,approved
64,,en,,,unknown,approved
65,சரி,en,Alright. OK,சரி,ta,approved
66,நீங்கள் தயாரா?,en,Are you ready?,நீங்கள் தயாரா?,ta,approved
67,உங்கள் இஷ்டம்,en,As you wish. As you like.,உங்கள் இஷ்டம்,ta,approved
68,கவனமாக இரு,en,Be careful.,கவனமாக இரு,ta,approved
69,சரியான நேரத்தில் இருங்கள்,en,Be punctual.,சரியான நேரத்தில் இருங்கள்,ta,approved
70,தயாராக இருங்கள்,en,Be ready.,தயாராக இருங்கள்,ta,approved
71,ஜாக்கிரதை (நாய்கள் ஜாக்கிரதை),en,Beware of dogs.,ஜாக்கிரதை நாய்கள் ஜாக்கிரதை,ta,approved
72,சீக்கிரம் வா,en,Come back soon.,சீக்கிரம் வா,ta,approved
73,முடிந்தது என்று கருதுங்கள்,en,Consider this as done.,முடிந்தது என்று கருதுங்கள்,ta,approved
74,தாமதிக்க வேண்டாம்,en,Don’t be late.,தாமதிக்க வேண்டாம்,ta,approved
75,பயப்பட வேண்டாம்,en,Don’t be scared.,பயப்பட வேண்டாம்,ta,approved
76,முட்டாள்தனமாக இருக்க வேண்டாம்,en,Don’t be silly.,முட்டாள்தனமாக இருக்க வேண்டாம்,ta,approved
77,பணம் கடன் வாங்க வேண்டாம்,en,Don’t borrow money.,பணம் கடன் வாங்க வேண்டாம்,ta,approved
78,கிரெடிட்டில் வாங்க வேண்டாம்,en,Don’t buy on credit.,கிரெடிட்டில் வாங்க வேண்டாம்,ta,approved
79,கோபப்பட வேண்டாம்,en,Don’t be angry.,கோபப்பட வேண்டாம்,ta,approved
80,என்னை தவறாக நினைக்க வேண்டாம்,en,Don’t get me wrong.,என்னை தவறாக நினைக்க வேண்டாம்,ta,approved
81,தயங்க வேண்டாம்,en,Don’t hesitate. Be frank.,தயங்க வேண்டாம்,ta,approved
82,முட்டாள்தனமாக பேச வேண்டாம்,en,Don’t talk nonsense.,முட்டாள்தனமாக பேச வேண்டாம்,ta,approved
83,திரை திற,en,Draw the curtain.,திரை திற,ta,approved
84,என்னை மன்னித்துவிடு,en,Forgive me.,என்னை மன்னித்துவிடு,ta,approved
85,ரதாதலந்து போ,en,Get lost.,ரதாதலந்து போ,ta,approved
86,திரும்பிச் செல்,en,Go back.,திரும்பிச் செல்,ta,approved
87,ஒழிஞ்சு போ,en,Go to hell.,ஒழிஞ்சு போ,ta,approved
88,நீ உன்னை நம்பு,en,Have faith in yourself.,நீ உன்னை நம்பு,ta,approved
89,அவர் என் சிறந்த நண்பர்,en,He is my best friend.,அவர் என் சிறந்த நண்பர்,ta,approved
90,அவர் வீட்டில் இல்லை,en,He is not home.,அவர் வீட்டில் இல்லை,ta,approved
91,அவர் கறுப்பானவர்,en,His complexion is dark.,அவர் கறுப்பானவர்,ta,approved
92,உன் நாக்கை அடக்கு,en,Hold your tongue. Mind your words.,உன் நாக்கை அடக்கு,ta,approved
93,எப்படி இது?,en,How come?,எப்படி இது?,ta,approved
94,அதைச் சொல்ல உனக்கு எவ்வளவு தைரியம்?,en,How dare you say that?,அதைச் சொல்ல உனக்கு எவ்வளவு தைரியம்?,ta,approved
95,எவ்வளவு அருவருப்பானது,en,How disgusting.,எவ்வளவு அருவருப்பானது,ta,approved
96,எவ்வளவு அழகு,en,How lovely! How nice! So sweet!,எவ்வளவு அழகு,ta,approved
97,உங்கள் வயது என்ன? எனக்கு வயது 12.,en,How old are you? I just turned 12.,உங்கள் வயது என்ன? எனக்கு வயது 12.,ta,approved
98,சீக்கிரம்,en,Hurry up.,சீக்கிரம்,ta,approved
99,எனக்கு கொஞ்சம் பணம் வேண்டும்,en,I am in need of some money.,எனக்கு கொஞ்சம் பணம் வேண்டும்,ta,approved
100,நான் வந்துகொண்டு இருக்கிறேன்,en,I am just coming.,நான் வந்துகொண்டு இருக்கிறேன்,ta,approved
101,உன்னை பார்த்து பெருமைப்படுகிறேன்,en,I am proud of you.,உன்னை பார்த்து பெருமைப்படுகிறேன்,ta,approved
102,எனக்கு நேரம் இல்லை,en,I don’t have time.,எனக்கு நேரம் இல்லை,ta,approved
103,எனக்கு இது எப்படி செய்ய வேண்டும் என்று தெரியாது,en,I don’t know how to do this.,எனக்கு இது எப்படி செய்ய வேண்டும் என்று தெரியாது,ta,approved
104,நான் அப்படி நினைக்கவில்லை,en,I don’t think so.,நான் அப்படி நினைக்கவில்லை,ta,approved
105,என்னிடம் எதுவும் இல்லை,en,I don't have anything.,என்னிடம் எதுவும் இல்லை,ta,approved
106,எனக்கு காய்ச்சல் மற்றும் தொண்டை வலி உள்ளது,en,I have a fever and sore throat.,எனக்கு காய்ச்சல் மற்றும் தொண்டை வலி உள்ளது,ta,approved
107,எனக்கு எதுவும் தெரியாது,en,I have no idea.,எனக்கு எதுவும் தெரியாது,ta,approved
108,எனக்கு நேரமில்லை,en,I have no time.,எனக்கு நேரமில்லை,ta,approved
109,நான் அதைப் பற்றி சிந்திக்க வேண்டும்,en,I have to think about it.,நான் அதைப் பற்றி சிந்திக்க வேண்டும்,ta,approved
110,நான் உன்னை மிஸ் செய்தேன்,en,I missed you very much.,நான் உன்னை மிஸ் செய்தேன்,ta,approved
