id,input_text,target_language,human_translated_text
1,அழுமூஞ்சியாக இருக்காதே.,en,Don’t be a cry-baby. / Don’t be a fusspot.
2,சிணுங்குவதை நிறுத்து.,en,Stop whining. / Stop whimpering.
3,நீ மிகவும் குறும்புக்காரி.,en,You are very naughty.
4,இந்த பையன் மிகவும் தேட்தடச் சேயவன்.,en,This boy is very mischievous; troublesome.
5,ஒழுங்கா இரு.,en,Behave yourself. / Keep quiet.
6,அவள் ஒரு சகட்டிக்காரி.,en,"She is smart, bright and intelligent."
7,அவள் சரம் வாயாடி.,en,She yaps a lot. / She is a chatterbox. / Talkative. Doesn’t stop talking.
8,அவள் பிடிவாதமானவள்.,en,Stubborn; adamant.
9,அவள் காபி தரையில் சிந்திவிட்டாள்.,en,She spilled coffee on the floor. / She messed up the place.
10,எல்லாவற்றையும் நீ தான் செய்யணும். நீ வளர்ந்துவிட்டாய்.,en,Help yourself. (Do it yourself.) You’ve grown up.
11,என்னை நம்பி இருக்காதே. என்னிடம் உதவி எதிர்பார்க்காதே.,en,Don’t depend on me. / Don’t bother me.
12,எதிர்த்து பேசாதே. பெரியவர்களுக்கு எதிர்த்து பேசாதே.,en,Don’t answer back. / Don’t talk back. / Don’t retort.
13,நான் சொல்வதை கேள்.,en,Just listen to me. / Obey me.
14,சொடக்கு அடிக்காதே. அது ஒரு சகட்ட பழக்கம்.,en,Don’t crack your knuckles. / That’s a bad habit.
15,சரியான நேரத்தில் வரவும். சரியான நேரத்தில் இருங்கள்.,en,You should turn up on time. / Be punctual. / Reach the office on time. / Don’t be late.
16,என் மேலாளர் என் கோரிக்கையை நிராகரித்தார்.,en,My boss turned down my request.
17,என் மேலாளர் எனக்கு லீவு கொடுக்க மறுத்துவிட்டார்.,en,My boss refused to grant me leave. / He rejected my leave application.
18,என் மேலாளருடன் எனக்கு இன்று நேரம் சரியில்லை.,en,I had a hard time with my boss today. / My boss was tough and rude with me.
19,நான் என்ன செய்தாலும் அவர் குற்றம் கண்டுபிடிக்கிறார்.,en,He is finding fault with whatever I do.
20,அவர் எப்போதும் என் தவறில் சின்ன சின்ன விஷயத்திற்கெல்லாம் குற்றம் கண்டுபிடிக்கிறார்.,en,My boss is always nit-picking in my work.
21,என் மேலாளர் என்னை திட்டினார்.,en,My boss scolded me. / He rebuked me.
22,என் மேலாளர் மிகவும் கண்டிப்பானவர்.,en,I have a very strict boss.
23,அவர் ஒருபோதும் சமாதானமாக இருப்பதில்லை.,en,He is never lenient.
24,அலுவலகத்தில் கடினமான வேலை.,en,It is tough work at the office.
25,அலுவலகத்தில் அதிகமான வேலை.,en,Heavy work at the office.
26,இதை எப்படி செய்வது என்று தெரியவில்லை.,en,I don’t know how to do this.
27,இதை எப்படி செய்வது என்று தெரியாமல் திக்குமுக்காடிக் காண்டு இருக்கிறேன்.,en,I am at a loss to know how to do this.
28,நீங்கள் எனக்கு உதவ முடியுமா?,en,"Could you help me, if you don’t mind?"
29,தயவுசெய்து ஒரு உதவி செய்ய முடியுமா?,en,Would you mind lending me a helping hand?
30,சாப்பாடு பரிமாறு,en,Serve food. (Don’t say: Keep the food) / (Second serving)
31,ருசியான சாப்பாடு,en,Tasty food. / Yummy food. / Delicious; delectable; palatable.
32,நான் உணவை ரசித்து சாப்பிட்டேன்,en,I relished the food.
33,உணவின் முக்கியப் பகுதி,en,Main course.
34,விக்குது; விக்கல் எடுக்குது,en,I am hiccupping.
35,பசி யித்வத கிள்ளுது,en,I am starved. / I am famished.
36,பசிதய இல்வல,en,I am full. / I am not hungry. / My stomach is full.
37,யித்வத புரட்டுது,en,Stomach churning. / My stomach is churning.
38,யிறு கம்மமன்று இருக்குது,en,I feel full. (Due to indigestion).
39,அவனுக்கு புத்திகூர்மை அதிகம்,en,He is sharp and intelligent. / He is brainy.
40,அவனுக்கு புத்தி இல்ல. ஒரு மரமண் வட,en,He is dumb. / He is stupid. / Dull-headed. / Brainless fellow.
41,இந்த இடம் பிசு பிசு மைன்று இருக்கிறது,en,This place is sticky.
42,தவரவய ஈர துணிவய வைத்து சுத்தம் செய்,en,Mop the floor.
43,ஒட்டவட எடு,en,Remove the cobwebs.
44,அதில் தூசி தட்டிவிடு,en,Dust it.
45,பழக்கமாக,en,Usually. / Customarily.
46,பழக்கத்துக்கு மாறாக,en,Unusually. / Contrary to the custom.
47,நருக்கு நர்,en,Direct. / One to one (conversation). / One on one (competition).
48,எப்படியும் சமாளிக்க டைண் டும்,en,Try to manage somehow. / Cope with it. / Grapple with it. / Manoeuvre.
49,என் அத்தி பூத்தது போல வருகிறீர்கள்,en,You come here once in a blue moon. / You seldom come here. / You rarely come here. / You come here occasionally.
